fid,gaul_code,iso3,mean,name,region,subregion,min,max,sum,year,gee_asset
265,270,ZMB,13764.0114266,Zambia,Africa,Eastern Africa,0.0,31628.3222656,1.73335054592e+11,2011,AGBP_Annual
266,271,ZWE,9886.20784452,Zimbabwe,Africa,Eastern Africa,0.0,30610.2304688,66531400769.2,2011,AGBP_Annual
147,150,MDG,11193.7588512,Madagascar,Africa,Eastern Africa,0.0,35898.6328125,1.13668121243e+11,2011,AGBP_Annual
149,152,MWI,10015.3663714,Malawi,Africa,Eastern Africa,0.0,31842.265625,19911870374.8,2011,AGBP_Annual
157,160,MUS,13952.9842314,Mauritius,Africa,Eastern Africa,0.0,31354.9726562,466490121.807,2011,AGBP_Annual
25,25,,,Bassas da India,Africa,Eastern Africa,,,0.0,2011,AGBP_Annual
158,161,MYT,,Mayotte,Africa,Eastern Africa,,,0.0,2011,AGBP_Annual
167,170,MOZ,12166.8462715,Mozambique,Africa,Eastern Africa,0.0,32001.4804688,1.63528691982e+11,2011,AGBP_Annual
38,38,IOT,,British Indian Ocean Territory,Africa,Eastern Africa,,,0.0,2011,AGBP_Annual
43,43,BDI,15364.3806695,Burundi,Africa,Eastern Africa,0.0,30339.5234375,6740384528.45,2011,AGBP_Annual
58,58,COM,19524.7051512,Comoros,Africa,Eastern Africa,0.0,35591.1054688,497333289.612,2011,AGBP_Annual
70,70,DJI,69.4408356263,Djibouti,Africa,Eastern Africa,0.0,7673.57470703,24946342.4354,2011,AGBP_Annual
202,205,RWA,15303.9080972,Rwanda,Africa,Eastern Africa,0.0,33488.078125,6338848126.04,2011,AGBP_Annual
203,206,REU,,RA(c)union,Africa,Eastern Africa,,,0.0,2011,AGBP_Annual
77,77,ERI,1042.45409047,Eritrea,Africa,Eastern Africa,0.0,16888.0429688,2111260377.89,2011,AGBP_Annual
79,79,ETH,7466.25606093,Ethiopia,Africa,Eastern Africa,0.0,33258.6992188,1.39164815983e+11,2011,AGBP_Annual
80,80,,,Europa Island,Africa,Eastern Africa,,,0.0,2011,AGBP_Annual
216,220,SYC,9534.47991132,Seychelles,Africa,Eastern Africa,0.0,33844.875,36354971.9019,2011,AGBP_Annual
222,226,SOM,1775.71756716,Somalia,Africa,Eastern Africa,0.0,25548.7792969,18437321668.5,2011,AGBP_Annual
96,96,,,Glorioso Island,Africa,Eastern Africa,,,0.0,2011,AGBP_Annual
242,247,,,Tromelin Island,Africa,Eastern Africa,,,0.0,2011,AGBP_Annual
248,253,UGA,13472.3749583,Uganda,Africa,Eastern Africa,0.0,34154.2539062,53077762297.2,2011,AGBP_Annual
252,257,TZA,11529.9111932,United Republic of Tanzania,Africa,Eastern Africa,0.0,32286.6855469,1.77766498939e+11,2011,AGBP_Annual
129,131,,,Juan de Nova Island,Africa,Eastern Africa,,,0.0,2011,AGBP_Annual
131,133,KEN,5849.6588714,Kenya,Africa,Eastern Africa,0.0,36274.5664062,55566693473.7,2011,AGBP_Annual
